"Designator","NozzleNum","StackNum","Mid X","Mid Y","Rotation","Height","Speed","Vision","Pressure","Explanation"
"LED31","1","L11","67.28","152.50","270.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","122.27","11.99","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","122.27","58.99","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","122.27","105.99","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","122.27","152.99","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","166.28","11.50","270.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","166.28","58.50","270.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","166.28","105.50","270.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","166.28","152.50","270.00","0.50","100","None","True","0:CHIPLED_1206 "
"U$2","1","L13","86.72","4.81","90.00","0.50","100","None","True","0:LED-TRICOLOR-SMD "
"U$2","1","L13","86.72","51.81","90.00","0.50","100","None","True","0:LED-TRICOLOR-SMD "
"U$2","1","L13","86.72","98.81","90.00","0.50","100","None","True","0:LED-TRICOLOR-SMD "
"U$2","1","L13","86.72","145.81","90.00","0.50","100","None","True","0:LED-TRICOLOR-SMD "
"U$2","1","L13","185.72","4.81","90.00","0.50","100","None","True","0:LED-TRICOLOR-SMD "
"U$2","1","L13","185.72","51.81","90.00","0.50","100","None","True","0:LED-TRICOLOR-SMD "
"U$2","1","L13","185.72","98.81","90.00","0.50","100","None","True","0:LED-TRICOLOR-SMD "
"U$2","1","L13","185.72","145.81","90.00","0.50","100","None","True","0:LED-TRICOLOR-SMD "
"T1","1","L14","92.19","173.17","180.00","0.50","100","None","True","0:SOT23 "
"T1","1","L14","92.20","79.11","180.00","0.50","100","None","True","0:SOT23 "
"T1","1","L14","92.20","126.12","180.00","0.50","100","None","True","0:SOT23 "
"T1","1","L14","92.21","31.93","180.00","0.50","100","None","True","0:SOT23 "
"T1","1","L14","191.43","79.02","180.00","0.50","100","None","True","0:SOT23 "
"T1","1","L14","191.43","126.11","180.00","0.50","100","None","True","0:SOT23 "
"T1","1","L14","191.43","173.11","180.00","0.50","100","None","True","0:SOT23 "
