"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"LED18","LED5MM","144.466mm","165.1046mm","144.466mm","165.1046mm","143.196mm","165.1046mm","T","0.00",""
"LED19","LED5MM","138.4716mm","165.1046mm","138.4716mm","165.1046mm","137.2016mm","165.1046mm","T","0.00",""
"LED20","LED5MM","132.4772mm","165.1046mm","132.4772mm","165.1046mm","131.2072mm","165.1046mm","T","0.00",""
"LED21","LED5MM","126.4828mm","165.1046mm","126.4828mm","165.1046mm","125.2128mm","165.1046mm","T","0.00",""
"LED22","LED5MM","162.4746mm","171.099mm","162.4746mm","171.099mm","161.2046mm","171.099mm","T","0.00",""
"LED23","LED5MM","156.4802mm","171.099mm","156.4802mm","171.099mm","155.2102mm","171.099mm","T","0.00",""
"LED24","LED5MM","150.4604mm","171.099mm","150.4604mm","171.099mm","149.1904mm","171.099mm","T","0.00",""
"LED25","LED5MM","144.466mm","171.099mm","144.466mm","171.099mm","143.196mm","171.099mm","T","0.00",""
"LED26","LED5MM","138.4716mm","171.099mm","138.4716mm","171.099mm","137.2016mm","171.099mm","T","0.00",""
"LED27","LED5MM","132.4772mm","171.099mm","132.4772mm","171.099mm","131.2072mm","171.099mm","T","0.00",""
"LED1","LED5MM","162.4746mm","152.9888mm","162.4746mm","152.9888mm","161.2046mm","152.9888mm","T","0.00",""
"U$2","LED-TRICOLOR-SMD","185.7212mm","145.8126mm","185.7156mm","145.8006mm","186.4268mm","144.3006mm","T","0.00",""
"SV1","FE05-1","114.494mm","175.9758mm","114.494mm","175.9758mm","109.414mm","175.9758mm","T","0.00",""
"R32","0805","181.0492mm","145.9276mm","181.042mm","145.9276mm","180.142mm","145.9276mm","T","0.00",""
"R33","0805","189.805mm","146.5444mm","189.805mm","146.5372mm","189.805mm","145.6372mm","T","90.00",""
"R36","0805","108.0932mm","147.9016mm","108.0932mm","147.9088mm","108.0932mm","148.8088mm","T","270.00",""
"R37","0805","107.948mm","143.8702mm","107.9408mm","143.8702mm","107.0408mm","143.8702mm","T","0.00",""
"R38","0805","185.4616mm","175.0542mm","185.4616mm","175.0614mm","185.4616mm","175.9614mm","T","270.00",""
"R39","0805","180.9984mm","147.985mm","180.9912mm","147.985mm","180.0912mm","147.985mm","T","0.00",""
"SV3_LCD_HEADER","MDF7-5S-2.54DSA","135.2839mm","177.5125mm","128.972mm","174.401mm","130.1912mm","176.0012mm","T","0.00",""
"SG1","BUZZER-12MM","187.2656mm","161.4978mm","187.265mm","161.4978mm","190.5162mm","161.4978mm","T","0.00",""
"JP1","2X20","144.085mm","145.8006mm","144.085mm","145.8006mm","168.215mm","147.0706mm","T","180.00",""
"R51","0805","178.4694mm","153.7mm","178.4766mm","153.7mm","179.3766mm","153.7mm","T","180.00",""
"R52","0805","103.26mm","142.8034mm","103.2672mm","142.8034mm","104.1672mm","142.8034mm","T","180.00",""
"R55","0805","112.4548mm","142.8034mm","112.462mm","142.8034mm","113.362mm","142.8034mm","T","180.00",""
"LED29","CHIPLED_1206","103.3675mm","145.191mm","103.3688mm","145.191mm","105.1188mm","145.191mm","T","90.00",""
"LED30","CHIPLED_1206","112.4607mm","145.0894mm","112.462mm","145.0894mm","114.212mm","145.0894mm","T","90.00",""
"C6","E3,5-8","171.9742mm","151.795mm","171.9742mm","151.795mm","171.9742mm","153.573mm","T","270.00",""
"C2","E3,5-8","102.3782mm","175.798mm","102.3782mm","175.798mm","100.6002mm","175.798mm","T","0.00",""
"R30","0805","191.387mm","170.21mm","191.3798mm","170.21mm","190.4798mm","170.21mm","T","0.00",""
"T1","SOT23","190.9646mm","173.1132mm","190.9734mm","173.1056mm","192.0734mm","172.1556mm","T","90.00",""
"IC1","SO16","104.6642mm","165.9936mm","104.6642mm","165.9936mm","101.5908mm","170.4386mm","T","270.00",""
"SW1","EVQ-Q2","103.4737mm","151.6916mm","103.4704mm","151.6934mm","101.4704mm","155.0934mm","T","270.00",""
"SW2","EVQ-Q2","112.5603mm","151.5936mm","112.5636mm","151.5918mm","114.5636mm","148.1918mm","T","90.00",""
"SW3","EVQ-Q2","177.183mm","173.8963mm","177.1812mm","173.893mm","173.7812mm","171.893mm","T","0.00",""
"SW4","EVQ-Q2","185.7682mm","151.6967mm","185.7664mm","151.6934mm","182.3664mm","149.6934mm","T","0.00",""
"LED28","LED5MM","126.4828mm","171.099mm","126.4828mm","171.099mm","125.2128mm","171.099mm","T","0.00",""
"R1","0805","108.5686mm","178.592mm","108.5758mm","178.592mm","109.4758mm","178.592mm","T","180.00",""
"R2","0805","191.2854mm","167.8986mm","191.2782mm","167.8986mm","190.3782mm","167.8986mm","T","0.00",""
"R4","0805","176.0708mm","158.6022mm","176.0636mm","158.6022mm","175.1636mm","158.6022mm","T","0.00",""
"U$3","TSSOP24","116.58mm","165.8936mm","116.5768mm","165.892mm","113.0018mm","162.9742mm","T","0.00",""
"U$4","TSSOP24","171.7678mm","165.103mm","171.771mm","165.1046mm","175.346mm","168.0224mm","T","180.00",""
"R3","0805","117.0776mm","173.7914mm","117.0848mm","173.7914mm","117.9848mm","173.7914mm","T","180.00",""
"R5","0805","180.6538mm","170.0068mm","180.661mm","170.0068mm","181.561mm","170.0068mm","T","180.00",""
"R6","0805","174.2674mm","157.002mm","174.2602mm","157.002mm","173.3602mm","157.002mm","T","0.00",""
"C1","C0805","111.573mm","167.7902mm","111.573mm","167.797mm","111.573mm","168.647mm","T","270.00",""
"C3","C0805","180.5848mm","165.8988mm","180.5848mm","165.892mm","180.5848mm","165.042mm","T","90.00",""
"LED31","CHIPLED_1206","166.2846mm","152.5049mm","166.2846mm","152.5062mm","166.2846mm","154.2562mm","T","180.00",""
"LED32","CHIPLED_1206","122.2664mm","152.9901mm","122.2664mm","152.9888mm","122.2664mm","151.2388mm","T","0.00",""
"IC2","QFN-10","175.5738mm","145.7062mm","175.581mm","145.699mm","174.819mm","144.799mm","T","90.00",""
"FID1","FIDUCIAL-1X2","192.98mm","140.8984mm","192.98mm","140.8984mm","192.98mm","140.8984mm","T","0.00",""
"FID2","FIDUCIAL-1X2","98.1618mm","178.7952mm","98.1618mm","178.7952mm","98.1618mm","178.7952mm","T","0.00",""
"U$1","FIDUCIAL_1MM","98.9746mm","141mm","98.9746mm","141mm","98.9746mm","141mm","T","0.00",""
"U$5","FIDUCIAL_1MM","192.7768mm","177.9062mm","192.7768mm","177.9062mm","192.7768mm","177.9062mm","T","0.00",""

