"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SG1","BUZZER-12MM","88.2656mm","114.4978mm","88.265mm","114.4978mm","91.5162mm","114.4978mm","T","0.00",""
"JP1","2X20","45.085mm","98.8006mm","45.085mm","98.8006mm","69.215mm","100.0706mm","T","180.00",""
"R51","0805","79.4694mm","106.7mm","79.4766mm","106.7mm","80.3766mm","106.7mm","T","180.00",""
"R52","0805","4.26mm","95.8034mm","4.2672mm","95.8034mm","5.1672mm","95.8034mm","T","180.00",""
"R55","0805","13.4548mm","95.8034mm","13.462mm","95.8034mm","14.362mm","95.8034mm","T","180.00",""
"LED29","CHIPLED_1206","4.3675mm","98.191mm","4.3688mm","98.191mm","6.1188mm","98.191mm","T","90.00",""
"LED30","CHIPLED_1206","13.4607mm","98.0894mm","13.462mm","98.0894mm","15.212mm","98.0894mm","T","90.00",""
"C6","E3,5-8","72.9742mm","104.795mm","72.9742mm","104.795mm","72.9742mm","106.573mm","T","270.00",""
"C2","E3,5-8","3.3782mm","128.798mm","3.3782mm","128.798mm","1.6002mm","128.798mm","T","0.00",""
"R30","0805","92.387mm","123.21mm","92.3798mm","123.21mm","91.4798mm","123.21mm","T","0.00",""
"T1","SOT23","91.9646mm","126.1132mm","91.9734mm","126.1056mm","93.0734mm","125.1556mm","T","90.00",""
"IC1","SO16","5.6642mm","118.9936mm","5.6642mm","118.9936mm","2.5908mm","123.4386mm","T","270.00",""
"SW1","EVQ-Q2","4.4737mm","104.6916mm","4.4704mm","104.6934mm","2.4704mm","108.0934mm","T","270.00",""
"SW2","EVQ-Q2","13.5603mm","104.5936mm","13.5636mm","104.5918mm","15.5636mm","101.1918mm","T","90.00",""
"SW3","EVQ-Q2","78.183mm","126.8963mm","78.1812mm","126.893mm","74.7812mm","124.893mm","T","0.00",""
"SW4","EVQ-Q2","86.7682mm","104.6967mm","86.7664mm","104.6934mm","83.3664mm","102.6934mm","T","0.00",""
"LED28","LED5MM","27.4828mm","124.099mm","27.4828mm","124.099mm","26.2128mm","124.099mm","T","0.00",""
"R1","0805","9.5686mm","131.592mm","9.5758mm","131.592mm","10.4758mm","131.592mm","T","180.00",""
"R2","0805","92.2854mm","120.8986mm","92.2782mm","120.8986mm","91.3782mm","120.8986mm","T","0.00",""
"R4","0805","77.0708mm","111.6022mm","77.0636mm","111.6022mm","76.1636mm","111.6022mm","T","0.00",""
"U$3","TSSOP24","17.58mm","118.8936mm","17.5768mm","118.892mm","14.0018mm","115.9742mm","T","0.00",""
"U$4","TSSOP24","72.7678mm","118.103mm","72.771mm","118.1046mm","76.346mm","121.0224mm","T","180.00",""
"R3","0805","18.0776mm","126.7914mm","18.0848mm","126.7914mm","18.9848mm","126.7914mm","T","180.00",""
"R5","0805","81.6538mm","123.0068mm","81.661mm","123.0068mm","82.561mm","123.0068mm","T","180.00",""
"R6","0805","75.2674mm","110.002mm","75.2602mm","110.002mm","74.3602mm","110.002mm","T","0.00",""
"C1","C0805","12.573mm","120.7902mm","12.573mm","120.797mm","12.573mm","121.647mm","T","270.00",""
"C3","C0805","81.5848mm","118.8988mm","81.5848mm","118.892mm","81.5848mm","118.042mm","T","90.00",""
"LED31","CHIPLED_1206","67.2846mm","105.5049mm","67.2846mm","105.5062mm","67.2846mm","107.2562mm","T","180.00",""
"LED32","CHIPLED_1206","23.2664mm","105.9901mm","23.2664mm","105.9888mm","23.2664mm","104.2388mm","T","0.00",""
"IC2","QFN-10","76.5738mm","98.7062mm","76.581mm","98.699mm","75.819mm","97.799mm","T","90.00",""
"FID1","FIDUCIAL-1X2","93.98mm","93.8984mm","93.98mm","93.8984mm","93.98mm","93.8984mm","T","0.00",""
"FID2","FIDUCIAL-1X2","-0.8382mm","131.7952mm","-0.8382mm","131.7952mm","-0.8382mm","131.7952mm","T","0.00",""
"U$1","FIDUCIAL_1MM","-0.0254mm","94mm","-0.0254mm","94mm","-0.0254mm","94mm","T","0.00",""
"U$5","FIDUCIAL_1MM","93.7768mm","130.9062mm","93.7768mm","130.9062mm","93.7768mm","130.9062mm","T","0.00",""
"LED2","LED5MM","57.4802mm","153.0904mm","57.4802mm","153.0904mm","56.2102mm","153.0904mm","T","0.00",""
"LED3","LED5MM","51.4604mm","153.0904mm","51.4604mm","153.0904mm","50.1904mm","153.0904mm","T","0.00",""
"LED4","LED5MM","45.466mm","153.0904mm","45.466mm","153.0904mm","44.196mm","153.0904mm","T","0.00",""
"LED5","LED5MM","39.4716mm","153.0904mm","39.4716mm","153.0904mm","38.2016mm","153.0904mm","T","0.00",""
"LED6","LED5MM","33.4772mm","153.0904mm","33.4772mm","153.0904mm","32.2072mm","153.0904mm","T","0.00",""
"LED7","LED5MM","27.4828mm","153.0904mm","27.4828mm","153.0904mm","26.2128mm","153.0904mm","T","0.00",""
"LED8","LED5MM","63.4746mm","159.1102mm","63.4746mm","159.1102mm","62.2046mm","159.1102mm","T","0.00",""
"LED9","LED5MM","57.4802mm","159.1102mm","57.4802mm","159.1102mm","56.2102mm","159.1102mm","T","0.00",""
"LED10","LED5MM","51.4604mm","159.1102mm","51.4604mm","159.1102mm","50.1904mm","159.1102mm","T","0.00",""
"LED11","LED5MM","45.466mm","159.1102mm","45.466mm","159.1102mm","44.196mm","159.1102mm","T","0.00",""
"LED12","LED5MM","39.4716mm","159.1102mm","39.4716mm","159.1102mm","38.2016mm","159.1102mm","T","0.00",""
"LED13","LED5MM","33.4772mm","159.1102mm","33.4772mm","159.1102mm","32.2072mm","159.1102mm","T","0.00",""
"LED14","LED5MM","27.4828mm","159.1102mm","27.4828mm","159.1102mm","26.2128mm","159.1102mm","T","0.00",""
"LED15","LED5MM","63.4746mm","165.1046mm","63.4746mm","165.1046mm","62.2046mm","165.1046mm","T","0.00",""
