"Designator","NozzleNum","StackNum","Mid X","Mid Y","Rotation","Height","Speed","Vision","Pressure","Explanation"
"T1","1","L1","190.86","32.11","90.00","0.00","100","None","True","SOT23 "
"T1","1","L1","91.96","172.72","90.00","0.00","100","None","True","SOT23 "
"T1","1","L1","190.86","78.98","90.00","0.00","100","None","True","SOT23 "
"T1","1","L1","91.96","125.85","90.00","0.00","100","None","True","SOT23 "
"U$2","1","L1","86.72","51.68","360.00","0.00","100","None","True","LED-TRICOLOR-SMD "
"U$2","1","L1","86.72","145.42","360.00","0.00","100","None","True","LED-TRICOLOR-SMD "
"U$2","1","L1","86.72","98.55","360.00","0.00","100","None","True","LED-TRICOLOR-SMD "
"U$2","1","L1","185.62","51.68","360.00","0.00","100","None","True","LED-TRICOLOR-SMD "
"U$2","1","L1","86.72","4.81","360.00","0.00","100","None","True","LED-TRICOLOR-SMD "
"U$2","1","L1","185.62","98.55","360.00","0.00","100","None","True","LED-TRICOLOR-SMD "
"U$2","1","L1","185.62","145.42","360.00","0.00","100","None","True","LED-TRICOLOR-SMD "
"U$2","1","L1","185.62","4.81","360.00","0.00","100","None","True","LED-TRICOLOR-SMD "
"U$3","1","L1","17.58","24.89","360.00","0.00","100","None","True","TSSOP24 "
"U$3","1","L1","116.48","118.63","360.00","0.00","100","None","True","TSSOP24 "
"U$3","1","L1","116.48","71.76","360.00","0.00","100","None","True","TSSOP24 "
"U$3","1","L1","17.58","71.76","360.00","0.00","100","None","True","TSSOP24 "
"U$3","1","L1","17.58","118.63","360.00","0.00","100","None","True","TSSOP24 "
"U$3","1","L1","116.48","24.89","360.00","0.00","100","None","True","TSSOP24 "
"U$3","1","L1","17.58","165.50","360.00","0.00","100","None","True","TSSOP24 "
"U$3","1","L1","116.48","165.50","360.00","0.00","100","None","True","TSSOP24 "
"U$4","1","L1","72.77","24.10","180.00","0.00","100","None","True","TSSOP24 "
"U$4","1","L1","171.67","70.97","180.00","0.00","100","None","True","TSSOP24 "
"U$4","1","L1","171.67","24.10","180.00","0.00","100","None","True","TSSOP24 "
